#
# Mean: -2.80828128e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.80828128e-02       1.183888e-06
      2              500       -2.80828128e-02       1.590387e-06
      5              200       -2.80828128e-02       2.270965e-06
     10              100       -2.80828128e-02       2.769793e-06
     20               50       -2.80828128e-02       3.319535e-06
     50               20       -2.80828128e-02       3.581926e-06
    100               10       -2.80828128e-02       4.155134e-06
    200                5       -2.80828128e-02       3.058104e-06
    300                3       -2.80822757e-02       3.241687e-06
    400                2       -2.80828103e-02       7.279977e-06
# Stocahstic error estimate: 4.155134e-06
#
