#
# Mean: -2.17092003e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.17092003e-02       1.119124e-07
      2              500       -2.17092003e-02       1.509279e-07
      5              200       -2.17092003e-02       2.191636e-07
     10              100       -2.17092003e-02       2.794663e-07
     20               50       -2.17092003e-02       3.507815e-07
     50               20       -2.17092003e-02       4.761157e-07
    100               10       -2.17092003e-02       5.332470e-07
    200                5       -2.17092003e-02       5.561468e-07
    300                3       -2.17093965e-02       7.252875e-07
    400                2       -2.17093298e-02       1.417704e-06
# Stocahstic error estimate: 5.561468e-07
#
