#
# Mean: -4.59249782e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59249782e-02       3.431604e-07
      2              500       -4.59249782e-02       4.626768e-07
      5              200       -4.59249782e-02       6.784786e-07
     10              100       -4.59249782e-02       8.772340e-07
     20               50       -4.59249782e-02       1.091716e-06
     50               20       -4.59249782e-02       1.125973e-06
    100               10       -4.59249782e-02       1.179103e-06
    200                5       -4.59249782e-02       1.679517e-06
    300                3       -4.59247463e-02       1.990199e-06
    400                2       -4.59246772e-02       5.886255e-07
# Stocahstic error estimate: 1.125973e-06
#
