#
# Mean: -7.98377962e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.98377962e-02       1.843119e-06
      2              500       -7.98377962e-02       2.249513e-06
      5              200       -7.98377962e-02       2.787312e-06
     10              100       -7.98377962e-02       3.054932e-06
     20               50       -7.98377962e-02       3.574777e-06
     50               20       -7.98377962e-02       2.925256e-06
    100               10       -7.98377962e-02       2.462031e-06
    200                5       -7.98377962e-02       2.486048e-06
    300                3       -7.98367190e-02       1.399481e-06
    400                2       -7.98359654e-02       3.499405e-06
# Stocahstic error estimate: 3.574777e-06
#
