#
# Mean: -7.76838464e-02
# Block size    # of blocks         Mean                Error
      1            10000       -7.76838464e-02       5.424830e-06
      2             5000       -7.76838464e-02       6.543725e-06
      5             2000       -7.76838464e-02       7.900582e-06
     10             1000       -7.76838464e-02       8.871100e-06
     20              500       -7.76838464e-02       9.355861e-06
     50              200       -7.76838464e-02       9.706096e-06
    100              100       -7.76838464e-02       1.082165e-05
    200               50       -7.76838464e-02       1.226173e-05
    300               33       -7.76828470e-02       9.483777e-06
    400               25       -7.76838464e-02       1.064727e-05
    500               20       -7.76838464e-02       1.014011e-05
   1000               10       -7.76838464e-02       1.097600e-05
# Stocahstic error estimate: 9.706096e-06
#
