#
# Mean: -8.53166399e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.53166399e-02       6.163832e-07
      2              500       -8.53166399e-02       7.249841e-07
      5              200       -8.53166399e-02       9.296869e-07
     10              100       -8.53166399e-02       1.073484e-06
     20               50       -8.53166399e-02       1.329082e-06
     50               20       -8.53166399e-02       1.753467e-06
    100               10       -8.53166399e-02       2.386248e-06
    200                5       -8.53166399e-02       3.491767e-06
    300                3       -8.53165814e-02       3.569852e-06
    400                2       -8.53175496e-02       2.125921e-06
# Stocahstic error estimate: 3.569852e-06
#
