#
# Mean: -7.33550986e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.33550986e-03       3.749611e-07
      2              500       -7.33550986e-03       4.748136e-07
      5              200       -7.33550986e-03       6.312996e-07
     10              100       -7.33550986e-03       7.420569e-07
     20               50       -7.33550986e-03       8.618036e-07
     50               20       -7.33550986e-03       1.125672e-06
    100               10       -7.33550986e-03       1.390448e-06
    200                5       -7.33550986e-03       2.099652e-06
    300                3       -7.33587922e-03       8.662812e-07
    400                2       -7.33691979e-03       2.311016e-06
# Stocahstic error estimate: 2.099652e-06
#
