#
# Mean: -3.23681631e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.23681631e-02       6.890973e-07
      2              500       -3.23681631e-02       8.248553e-07
      5              200       -3.23681631e-02       9.905413e-07
     10              100       -3.23681631e-02       1.055773e-06
     20               50       -3.23681631e-02       1.082836e-06
     50               20       -3.23681631e-02       1.108685e-06
    100               10       -3.23681631e-02       1.110548e-06
    200                5       -3.23681631e-02       1.441065e-06
    300                3       -3.23682046e-02       2.405958e-06
    400                2       -3.23681183e-02       3.863555e-06
# Stocahstic error estimate: 1.082836e-06
#
