#
# Mean: -1.98285146e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.98285146e-02       1.844188e-07
      2              500       -1.98285146e-02       2.356355e-07
      5              200       -1.98285146e-02       3.080221e-07
     10              100       -1.98285146e-02       3.495203e-07
     20               50       -1.98285146e-02       4.094325e-07
     50               20       -1.98285146e-02       4.702793e-07
    100               10       -1.98285146e-02       5.044036e-07
    200                5       -1.98285146e-02       4.554048e-07
    300                3       -1.98284449e-02       1.529014e-07
    400                2       -1.98282071e-02       2.277101e-07
# Stocahstic error estimate: 5.044036e-07
#
