#
# Mean: -4.62837321e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62837321e-02       2.193496e-07
      2              500       -4.62837321e-02       2.956514e-07
      5              200       -4.62837321e-02       4.317408e-07
     10              100       -4.62837321e-02       5.571178e-07
     20               50       -4.62837321e-02       7.063043e-07
     50               20       -4.62837321e-02       1.021654e-06
    100               10       -4.62837321e-02       1.233887e-06
    200                5       -4.62837321e-02       1.458958e-06
    300                3       -4.62839901e-02       1.605995e-06
    400                2       -4.62843940e-02       5.598225e-08
# Stocahstic error estimate: 1.605995e-06
#
