#
# Mean: -4.62465675e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62465675e-02       1.459410e-07
      2              500       -4.62465675e-02       1.934591e-07
      5              200       -4.62465675e-02       2.726298e-07
     10              100       -4.62465675e-02       3.336615e-07
     20               50       -4.62465675e-02       3.758617e-07
     50               20       -4.62465675e-02       4.384999e-07
    100               10       -4.62465675e-02       3.397051e-07
    200                5       -4.62465675e-02       3.489626e-07
    300                3       -4.62464628e-02       3.931273e-07
    400                2       -4.62466262e-02       6.085952e-07
# Stocahstic error estimate: 4.384999e-07
#
