#
# Mean: -3.18464956e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18464956e-02       1.498390e-07
      2              500       -3.18464956e-02       2.000239e-07
      5              200       -3.18464956e-02       2.798149e-07
     10              100       -3.18464956e-02       3.465892e-07
     20               50       -3.18464956e-02       4.041698e-07
     50               20       -3.18464956e-02       5.553036e-07
    100               10       -3.18464956e-02       6.777707e-07
    200                5       -3.18464956e-02       6.864074e-07
    300                3       -3.18465454e-02       7.422526e-07
    400                2       -3.18470884e-02       2.359987e-09
# Stocahstic error estimate: 6.864074e-07
#
