#
# Mean: -2.17519603e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.17519603e-02       1.087957e-07
      2              500       -2.17519603e-02       1.471346e-07
      5              200       -2.17519603e-02       2.110226e-07
     10              100       -2.17519603e-02       2.650202e-07
     20               50       -2.17519603e-02       3.299059e-07
     50               20       -2.17519603e-02       3.875290e-07
    100               10       -2.17519603e-02       5.162065e-07
    200                5       -2.17519603e-02       5.967542e-07
    300                3       -2.17520812e-02       9.901507e-08
    400                2       -2.17518623e-02       9.740975e-08
# Stocahstic error estimate: 5.967542e-07
#
