#
# Mean: -4.62233721e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62233721e-02       1.778154e-07
      2              500       -4.62233721e-02       2.365877e-07
      5              200       -4.62233721e-02       3.437992e-07
     10              100       -4.62233721e-02       4.420779e-07
     20               50       -4.62233721e-02       5.369036e-07
     50               20       -4.62233721e-02       6.920579e-07
    100               10       -4.62233721e-02       7.268895e-07
    200                5       -4.62233721e-02       1.048571e-06
    300                3       -4.62231158e-02       7.558878e-07
    400                2       -4.62225375e-02       1.251937e-06
# Stocahstic error estimate: 1.048571e-06
#
