#
# Mean: 5.69293061e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69293061e-01       2.222369e-05
      2              500       5.69293061e-01       2.651570e-05
      5              200       5.69293061e-01       3.164264e-05
     10              100       5.69293061e-01       3.368528e-05
     20               50       5.69293061e-01       3.526907e-05
     50               20       5.69293061e-01       3.895706e-05
    100               10       5.69293061e-01       4.557600e-05
    200                5       5.69293061e-01       6.107668e-05
    300                3       5.69295421e-01       7.802477e-05
    400                2       5.69287075e-01       1.525782e-04
# Stocahstic error estimate: 3.526907e-05
#
