#
# Mean: -4.52994259e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.52994259e-02       5.116921e-07
      2              500       -4.52994259e-02       6.932516e-07
      5              200       -4.52994259e-02       1.014622e-06
     10              100       -4.52994259e-02       1.350588e-06
     20               50       -4.52994259e-02       1.726905e-06
     50               20       -4.52994259e-02       2.513716e-06
    100               10       -4.52994259e-02       3.406036e-06
    200                5       -4.52994259e-02       4.446941e-06
    300                3       -4.52985702e-02       1.046927e-06
    400                2       -4.52966136e-02       6.123270e-06
# Stocahstic error estimate: 4.446941e-06
#
