#
# Mean: -7.49858482e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.49858482e-03       2.787909e-07
      2              500       -7.49858482e-03       3.524709e-07
      5              200       -7.49858482e-03       4.699585e-07
     10              100       -7.49858482e-03       5.585782e-07
     20               50       -7.49858482e-03       6.153052e-07
     50               20       -7.49858482e-03       7.216741e-07
    100               10       -7.49858482e-03       8.246784e-07
    200                5       -7.49858482e-03       1.086553e-06
    300                3       -7.49898640e-03       6.085213e-07
    400                2       -7.49909904e-03       8.199385e-07
# Stocahstic error estimate: 1.086553e-06
#
