#
# Mean: -4.59790275e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59790275e-02       2.974985e-07
      2              500       -4.59790275e-02       4.045685e-07
      5              200       -4.59790275e-02       5.891682e-07
     10              100       -4.59790275e-02       7.536890e-07
     20               50       -4.59790275e-02       8.835808e-07
     50               20       -4.59790275e-02       1.276247e-06
    100               10       -4.59790275e-02       1.608005e-06
    200                5       -4.59790275e-02       1.538383e-06
    300                3       -4.59783663e-02       9.053062e-08
    400                2       -4.59778597e-02       2.545222e-07
# Stocahstic error estimate: 1.608005e-06
#
