#
# Mean: -1.97735993e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.97735993e-02       7.320699e-08
      2              500       -1.97735993e-02       9.950778e-08
      5              200       -1.97735993e-02       1.463977e-07
     10              100       -1.97735993e-02       1.851277e-07
     20               50       -1.97735993e-02       2.409478e-07
     50               20       -1.97735993e-02       2.357718e-07
    100               10       -1.97735993e-02       2.742392e-07
    200                5       -1.97735993e-02       2.250764e-07
    300                3       -1.97735006e-02       3.560523e-07
    400                2       -1.97735441e-02       2.906000e-07
# Stocahstic error estimate: 2.409478e-07
#
