#
# Mean: -4.62779594e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62779594e-02       1.943085e-07
      2              500       -4.62779594e-02       2.567918e-07
      5              200       -4.62779594e-02       3.604104e-07
     10              100       -4.62779594e-02       4.505925e-07
     20               50       -4.62779594e-02       5.379581e-07
     50               20       -4.62779594e-02       5.805216e-07
    100               10       -4.62779594e-02       7.650900e-07
    200                5       -4.62779594e-02       5.969385e-07
    300                3       -4.62778821e-02       4.964815e-08
    400                2       -4.62779848e-02       1.027747e-06
# Stocahstic error estimate: 7.650900e-07
#
