#
# Mean: 5.30482935e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.30482935e-01       1.610059e-05
      2              500       5.30482935e-01       2.054769e-05
      5              200       5.30482935e-01       2.661587e-05
     10              100       5.30482935e-01       3.065205e-05
     20               50       5.30482935e-01       3.200859e-05
     50               20       5.30482935e-01       3.350828e-05
    100               10       5.30482935e-01       3.483099e-05
    200                5       5.30482935e-01       2.980585e-05
    300                3       5.30498734e-01       2.604133e-05
    400                2       5.30483559e-01       2.712416e-05
# Stocahstic error estimate: 3.200859e-05
#
