#
# Mean: -3.19293108e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.19293108e-02       6.172223e-08
      2              500       -3.19293108e-02       8.265270e-08
      5              200       -3.19293108e-02       1.208678e-07
     10              100       -3.19293108e-02       1.591567e-07
     20               50       -3.19293108e-02       1.928741e-07
     50               20       -3.19293108e-02       2.449455e-07
    100               10       -3.19293108e-02       3.211374e-07
    200                5       -3.19293108e-02       4.280067e-07
    300                3       -3.19294182e-02       6.084569e-07
    400                2       -3.19296057e-02       5.896429e-07
# Stocahstic error estimate: 6.084569e-07
#
