#
# Mean: -8.23004518e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.23004518e-03       7.789490e-06
      2              500       -8.23004518e-03       9.300198e-06
      5              200       -8.23004518e-03       1.093517e-05
     10              100       -8.23004518e-03       1.178002e-05
     20               50       -8.23004518e-03       1.304177e-05
     50               20       -8.23004518e-03       1.569334e-05
    100               10       -8.23004518e-03       1.498921e-05
    200                5       -8.23004518e-03       1.511107e-05
    300                3       -8.22308628e-03       7.822489e-06
    400                2       -8.22283037e-03       2.180605e-05
# Stocahstic error estimate: 1.569334e-05
#
