#
# Mean: -8.52503092e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.52503092e-02       6.451070e-07
      2              500       -8.52503092e-02       8.689920e-07
      5              200       -8.52503092e-02       1.254863e-06
     10              100       -8.52503092e-02       1.622219e-06
     20               50       -8.52503092e-02       2.075093e-06
     50               20       -8.52503092e-02       2.341017e-06
    100               10       -8.52503092e-02       1.676523e-06
    200                5       -8.52503092e-02       1.334509e-06
    300                3       -8.52506316e-02       2.603355e-06
    400                2       -8.52506027e-02       3.275663e-06
# Stocahstic error estimate: 2.341017e-06
#
