#
# Mean: -4.59896451e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59896451e-02       3.302279e-07
      2              500       -4.59896451e-02       4.518102e-07
      5              200       -4.59896451e-02       6.693475e-07
     10              100       -4.59896451e-02       8.527945e-07
     20               50       -4.59896451e-02       1.072752e-06
     50               20       -4.59896451e-02       1.340547e-06
    100               10       -4.59896451e-02       1.341276e-06
    200                5       -4.59896451e-02       1.520055e-06
    300                3       -4.59904348e-02       1.943297e-06
    400                2       -4.59906680e-02       3.050212e-07
# Stocahstic error estimate: 1.341276e-06
#
