#
# Mean: -8.44747136e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.44747136e-02       1.216430e-06
      2              500       -8.44747136e-02       1.615321e-06
      5              200       -8.44747136e-02       2.270242e-06
     10              100       -8.44747136e-02       2.950185e-06
     20               50       -8.44747136e-02       3.682930e-06
     50               20       -8.44747136e-02       4.684928e-06
    100               10       -8.44747136e-02       4.766331e-06
    200                5       -8.44747136e-02       5.206079e-06
    300                3       -8.44727878e-02       4.881844e-06
    400                2       -8.44711813e-02       8.721523e-06
# Stocahstic error estimate: 4.766331e-06
#
