#
# Mean: -5.39861462e-02
# Block size    # of blocks         Mean                Error
      1             1000       -5.39861462e-02       2.144573e-06
      2              500       -5.39861462e-02       2.609937e-06
      5              200       -5.39861462e-02       3.251424e-06
     10              100       -5.39861462e-02       3.608804e-06
     20               50       -5.39861462e-02       3.728860e-06
     50               20       -5.39861462e-02       2.913545e-06
    100               10       -5.39861462e-02       2.470950e-06
    200                5       -5.39861462e-02       2.928376e-06
    300                3       -5.39846081e-02       3.708092e-06
    400                2       -5.39848107e-02       2.939830e-06
# Stocahstic error estimate: 3.728860e-06
#
