#
# Mean: -4.61442405e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61442405e-02       2.306060e-07
      2              500       -4.61442405e-02       3.148434e-07
      5              200       -4.61442405e-02       4.638151e-07
     10              100       -4.61442405e-02       6.013448e-07
     20               50       -4.61442405e-02       7.699376e-07
     50               20       -4.61442405e-02       1.051703e-06
    100               10       -4.61442405e-02       1.281153e-06
    200                5       -4.61442405e-02       1.457669e-06
    300                3       -4.61445715e-02       4.821592e-07
    400                2       -4.61451820e-02       1.803817e-06
# Stocahstic error estimate: 1.457669e-06
#
