#
# Mean: -8.27455454e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.27455454e-03       8.643409e-06
      2              500       -8.27455454e-03       1.008784e-05
      5              200       -8.27455454e-03       1.212629e-05
     10              100       -8.27455454e-03       1.254376e-05
     20               50       -8.27455454e-03       1.312873e-05
     50               20       -8.27455454e-03       1.343299e-05
    100               10       -8.27455454e-03       1.579420e-05
    200                5       -8.27455454e-03       1.849169e-05
    300                3       -8.27048520e-03       2.235753e-05
    400                2       -8.27112930e-03       3.773362e-05
# Stocahstic error estimate: 1.254376e-05
#
