#
# Mean: -8.08310764e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.08310764e-03       9.031593e-06
      2              500       -8.08310764e-03       1.073750e-05
      5              200       -8.08310764e-03       1.296269e-05
     10              100       -8.08310764e-03       1.468460e-05
     20               50       -8.08310764e-03       1.605941e-05
     50               20       -8.08310764e-03       1.316560e-05
    100               10       -8.08310764e-03       1.232128e-05
    200                5       -8.08310764e-03       1.073533e-05
    300                3       -8.07744005e-03       1.420230e-05
    400                2       -8.08410507e-03       2.054617e-05
# Stocahstic error estimate: 1.605941e-05
#
