#
# Mean: -5.19034887e-03
# Block size    # of blocks         Mean                Error
      1             1000       -5.19034887e-03       3.035421e-08
      2              500       -5.19034887e-03       4.230093e-08
      5              200       -5.19034887e-03       6.553332e-08
     10              100       -5.19034887e-03       9.059867e-08
     20               50       -5.19034887e-03       1.258326e-07
     50               20       -5.19034887e-03       1.981514e-07
    100               10       -5.19034887e-03       2.844876e-07
    200                5       -5.19034887e-03       4.289995e-07
    300                3       -5.19025663e-03       6.443331e-07
    400                2       -5.19014772e-03       9.626830e-07
