#
# Mean: -5.50445216e-02
# Block size    # of blocks         Mean                Error
      1             1000       -5.50445216e-02       1.485193e-06
      2              500       -5.50445216e-02       1.851139e-06
      5              200       -5.50445216e-02       2.435074e-06
     10              100       -5.50445216e-02       2.808479e-06
     20               50       -5.50445216e-02       3.366783e-06
     50               20       -5.50445216e-02       3.187771e-06
    100               10       -5.50445216e-02       3.180476e-06
    200                5       -5.50445216e-02       3.806988e-06
    300                3       -5.50429142e-02       3.183089e-06
    400                2       -5.50433861e-02       2.716551e-06
# Stocahstic error estimate: 3.366783e-06
#
