#
# Mean: -3.18665709e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18665709e-02       1.327258e-07
      2              500       -3.18665709e-02       1.776817e-07
      5              200       -3.18665709e-02       2.490739e-07
     10              100       -3.18665709e-02       3.098634e-07
     20               50       -3.18665709e-02       3.938636e-07
     50               20       -3.18665709e-02       4.832052e-07
    100               10       -3.18665709e-02       6.024096e-07
    200                5       -3.18665709e-02       5.048956e-07
    300                3       -3.18664921e-02       7.068375e-07
    400                2       -3.18663916e-02       1.132573e-06
# Stocahstic error estimate: 6.024096e-07
#
