#
# Mean: -7.70731333e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.70731333e-03       8.143676e-08
      2              500       -7.70731333e-03       1.015459e-07
      5              200       -7.70731333e-03       1.271126e-07
     10              100       -7.70731333e-03       1.566910e-07
     20               50       -7.70731333e-03       1.800676e-07
     50               20       -7.70731333e-03       2.283499e-07
    100               10       -7.70731333e-03       2.408461e-07
    200                5       -7.70731333e-03       2.462134e-07
    300                3       -7.70722482e-03       3.162799e-07
    400                2       -7.70722907e-03       3.669334e-07
# Stocahstic error estimate: 2.462134e-07
#
