rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
1	-8.47841438e-02	7.039460636936113458e-01 
11	-8.47814894e-02	2.197841017044832590e+00 
13	-8.47738402e-02	1.559652922974228417e+01 
10	-8.47734500e-02	5.924188507663475933e-01 
0	-8.47732711e-02	3.521372710790383387e+00 
4	-8.47627518e-02	3.984048638145175070e-01 
14	-8.47566175e-02	3.461259957238891349e-01 
5	-8.47253707e-02	2.021105975837148572e-01 
15	-8.46457556e-02	7.388316314465202816e-02 
2	-8.44816704e-02	1.426200024162584470e-02 
6	-8.44724111e-02	1.236842130588515151e-02 
3	-8.44679859e-02	1.345182627803403162e-02 
12	inf	2.215374112460658296e+02 
7	inf	5.309854166403624021e+01 
8	inf	3.233682661978440365e+01 
9	inf	2.911251832227445675e+02 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
10	-4.61784442e-02	9.000595629754739591e+00 
1	-4.61752551e-02	1.202964271300352017e+01 
0	-4.61672579e-02	1.943812275109799703e+00 
13	-4.61519251e-02	3.428689028917071280e-01 
8	-4.61458434e-02	1.702269446321727497e-01 
6	-4.61405210e-02	1.176126314746477330e-01 
11	-4.61313241e-02	7.021401540056761148e-02 
7	-4.61002955e-02	2.037817250270272315e-02 
4	-4.60843681e-02	1.199040173256649827e-02 
3	-4.60808724e-02	1.119611104992313498e-02 
14	-4.46050399e-02	1.863510870781802709e+01 
12	inf	4.027652259883119541e+02 
15	inf	5.034491041801454259e+01 
2	inf	2.925682509860806846e+01 
5	inf	4.579328818506303378e+01 
9	inf	3.396512058173327091e+02 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
10	-3.18982696e-02	3.488810272140625557e+00 
15	-3.18969547e-02	3.173739225812584497e+00 
11	-3.18956469e-02	6.827887970800810891e+00 
6	-3.18931901e-02	1.289619692728187994e+00 
14	-3.18929679e-02	1.289440198488796652e+00 
0	-3.18927090e-02	1.449877322185717521e+00 
8	-3.18846479e-02	3.752508141489656057e-01 
12	-3.18776428e-02	1.951596335380188507e-01 
1	-3.18720425e-02	1.062476861697988079e-01 
13	-3.18516391e-02	2.615847850438120584e-02 
3	-3.18499572e-02	2.199356545447916922e-02 
2	-3.18429620e-02	1.517278631944620274e-02 
9	-3.18374653e-02	1.065157957786827883e-02 
4	inf	2.099304853494040799e+02 
5	inf	1.026885434800804831e+02 
7	inf	4.234170088118981994e+02 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
8	-2.44181174e-02	4.199934609606301272e+00 
15	-2.44162466e-02	1.486020265533115614e+00 
4	-2.44156886e-02	1.155320387234010981e+00 
10	-2.44140091e-02	8.222137629003668513e-01 
9	-2.44124178e-02	5.704101008224816693e-01 
0	-2.43984648e-02	8.454755598512614378e-02 
6	-2.43974644e-02	7.956655808232933336e-02 
11	-2.43905600e-02	5.456669001201500113e-02 
12	-2.43876697e-02	4.640903170321931254e-02 
14	5.60069443e-02	2.735015201079996672e+01 
1	inf	5.224658503760860384e+01 
13	inf	5.512080312839919571e+01 
2	inf	3.590052143966656217e+02 
3	inf	3.627348015867672189e+02 
5	inf	3.560864628031549017e+01 
7	inf	1.088289669746967689e+02 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
0	-1.98069029e-02	2.145401116020807741e+00 
13	-1.98065525e-02	1.887427629362658621e+00 
3	-1.98064506e-02	5.356263549489037601e+00 
2	-1.98062512e-02	2.189001566114332054e+00 
9	-1.98007964e-02	4.120122683104653905e-01 
5	-1.97985769e-02	2.861497413506094989e-01 
8	-1.97980730e-02	2.653151584951808362e-01 
10	-1.97818214e-02	6.817085047141564769e-02 
12	-1.97783633e-02	2.034206595468249645e+01 
6	-1.97720130e-02	3.814863653839418306e-02 
15	-1.97684542e-02	3.144799954628155897e-02 
11	-1.97667926e-02	2.712894835802707669e-02 
14	-1.97620768e-02	1.514895982530839369e+01 
1	inf	6.608643171482833623e+01 
4	inf	1.805863872986929408e+01 
7	inf	8.195283002197056987e+01 

