#
# Mean: 5.69000271e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69000271e-01       1.530461e-05
      2              500       5.69000271e-01       1.772896e-05
      5              200       5.69000271e-01       2.164316e-05
     10              100       5.69000271e-01       2.251924e-05
     20               50       5.69000271e-01       2.337911e-05
     50               20       5.69000271e-01       2.368399e-05
    100               10       5.69000271e-01       2.580243e-05
    200                5       5.69000271e-01       2.766295e-05
    300                3       5.69004315e-01       4.342155e-05
    400                2       5.69016178e-01       1.362926e-05
# Stocahstic error estimate: 2.251924e-05
#
