#
# Mean: -1.40618941e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.40618941e-02       7.231882e-07
      2              500       -1.40618941e-02       9.145601e-07
      5              200       -1.40618941e-02       1.181499e-06
     10              100       -1.40618941e-02       1.456670e-06
     20               50       -1.40618941e-02       1.536515e-06
     50               20       -1.40618941e-02       1.837118e-06
    100               10       -1.40618941e-02       1.409062e-06
    200                5       -1.40618941e-02       9.128059e-07
    300                3       -1.40622095e-02       9.423924e-07
    400                2       -1.40612579e-02       1.505282e-06
# Stocahstic error estimate: 1.837118e-06
#
