#
# Mean: -4.59267720e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59267720e-02       3.711660e-07
      2              500       -4.59267720e-02       5.057217e-07
      5              200       -4.59267720e-02       7.456403e-07
     10              100       -4.59267720e-02       9.641107e-07
     20               50       -4.59267720e-02       1.177951e-06
     50               20       -4.59267720e-02       1.210523e-06
    100               10       -4.59267720e-02       1.439077e-06
    200                5       -4.59267720e-02       1.949342e-06
    300                3       -4.59270269e-02       1.930008e-06
    400                2       -4.59273850e-02       1.667646e-06
# Stocahstic error estimate: 1.210523e-06
#
