#
# Mean: -8.28014761e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.28014761e-03       7.531451e-06
      2              500       -8.28014761e-03       8.745799e-06
      5              200       -8.28014761e-03       1.023776e-05
     10              100       -8.28014761e-03       1.115977e-05
     20               50       -8.28014761e-03       1.148050e-05
     50               20       -8.28014761e-03       1.041692e-05
    100               10       -8.28014761e-03       1.042590e-05
    200                5       -8.28014761e-03       5.422897e-06
    300                3       -8.28082180e-03       1.366624e-05
    400                2       -8.27745439e-03       9.420168e-06
# Stocahstic error estimate: 1.148050e-05
#
