#
# Mean: 6.77068625e-01
# Block size    # of blocks         Mean                Error
      1             1000       6.77068625e-01       5.174402e-05
      2              500       6.77068625e-01       6.325912e-05
      5              200       6.77068625e-01       7.648530e-05
     10              100       6.77068625e-01       8.654423e-05
     20               50       6.77068625e-01       9.047256e-05
     50               20       6.77068625e-01       8.111825e-05
    100               10       6.77068625e-01       8.887736e-05
    200                5       6.77068625e-01       7.924222e-05
    300                3       6.77017809e-01       5.900682e-05
    400                2       6.77011428e-01       4.766260e-05
# Stocahstic error estimate: 9.047256e-05
#
