#
# Mean: -2.17163981e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.17163981e-02       3.615148e-07
      2              500       -2.17163981e-02       5.096641e-07
      5              200       -2.17163981e-02       8.021784e-07
     10              100       -2.17163981e-02       1.130844e-06
     20               50       -2.17163981e-02       1.602572e-06
     50               20       -2.17163981e-02       2.594209e-06
    100               10       -2.17163981e-02       3.812474e-06
    200                5       -2.17163981e-02       5.897720e-06
    300                3       -2.17150071e-02       8.434057e-06
    400                2       -2.17135040e-02       1.149254e-05
