#
# Mean: -2.39999176e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.39999176e-02       1.602854e-07
      2              500       -2.39999176e-02       2.128926e-07
      5              200       -2.39999176e-02       3.007849e-07
     10              100       -2.39999176e-02       3.846118e-07
     20               50       -2.39999176e-02       4.667489e-07
     50               20       -2.39999176e-02       6.170372e-07
    100               10       -2.39999176e-02       7.188049e-07
    200                5       -2.39999176e-02       5.914815e-07
    300                3       -2.39995897e-02       3.884809e-07
    400                2       -2.39994617e-02       5.409217e-07
# Stocahstic error estimate: 7.188049e-07
#
