#
# Mean: -5.49879329e-02
# Block size    # of blocks         Mean                Error
      1             1000       -5.49879329e-02       1.876354e-06
      2              500       -5.49879329e-02       2.274744e-06
      5              200       -5.49879329e-02       2.866500e-06
     10              100       -5.49879329e-02       3.423728e-06
     20               50       -5.49879329e-02       3.830754e-06
     50               20       -5.49879329e-02       3.921163e-06
    100               10       -5.49879329e-02       4.749838e-06
    200                5       -5.49879329e-02       3.567470e-06
    300                3       -5.49852944e-02       1.871702e-06
    400                2       -5.49858360e-02       3.897523e-06
# Stocahstic error estimate: 3.921163e-06
#
