#
# Mean: -4.59764095e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59764095e-02       3.005252e-07
      2              500       -4.59764095e-02       4.087448e-07
      5              200       -4.59764095e-02       5.966692e-07
     10              100       -4.59764095e-02       7.592804e-07
     20               50       -4.59764095e-02       9.157199e-07
     50               20       -4.59764095e-02       9.936893e-07
    100               10       -4.59764095e-02       1.023309e-06
    200                5       -4.59764095e-02       5.843826e-07
    300                3       -4.59763179e-02       1.484164e-07
    400                2       -4.59765252e-02       6.540369e-07
# Stocahstic error estimate: 1.023309e-06
#
