#
# Mean: -2.42415126e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.42415126e-02       1.443467e-07
      2              500       -2.42415126e-02       1.956804e-07
      5              200       -2.42415126e-02       2.864126e-07
     10              100       -2.42415126e-02       3.707431e-07
     20               50       -2.42415126e-02       4.503397e-07
     50               20       -2.42415126e-02       5.966481e-07
    100               10       -2.42415126e-02       6.607239e-07
    200                5       -2.42415126e-02       5.209449e-07
    300                3       -2.42410698e-02       5.073862e-07
    400                2       -2.42411029e-02       1.171169e-08
# Stocahstic error estimate: 6.607239e-07
#
