#
# Mean: -8.25212655e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.25212655e-03       7.750798e-06
      2              500       -8.25212655e-03       9.455201e-06
      5              200       -8.25212655e-03       1.110266e-05
     10              100       -8.25212655e-03       1.223591e-05
     20               50       -8.25212655e-03       1.307119e-05
     50               20       -8.25212655e-03       1.525304e-05
    100               10       -8.25212655e-03       1.541346e-05
    200                5       -8.25212655e-03       1.404078e-05
    300                3       -8.25672402e-03       2.100890e-05
    400                2       -8.25858763e-03       1.127613e-05
# Stocahstic error estimate: 1.541346e-05
#
