#
# Mean: -1.92984587e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.92984587e-02       2.000363e-07
      2              500       -1.92984587e-02       2.736712e-07
      5              200       -1.92984587e-02       4.149477e-07
     10              100       -1.92984587e-02       5.615996e-07
     20               50       -1.92984587e-02       7.599428e-07
     50               20       -1.92984587e-02       1.077500e-06
    100               10       -1.92984587e-02       1.503957e-06
    200                5       -1.92984587e-02       2.259605e-06
    300                3       -1.92977372e-02       2.590931e-06
    400                2       -1.92966079e-02       2.111618e-06
# Stocahstic error estimate: 2.590931e-06
#
