#
# Mean: -8.29857772e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.29857772e-03       7.562493e-06
      2              500       -8.29857772e-03       9.030592e-06
      5              200       -8.29857772e-03       1.093193e-05
     10              100       -8.29857772e-03       1.221003e-05
     20               50       -8.29857772e-03       1.298174e-05
     50               20       -8.29857772e-03       1.352730e-05
    100               10       -8.29857772e-03       1.436888e-05
    200                5       -8.29857772e-03       1.375417e-05
    300                3       -8.29911706e-03       1.220444e-05
    400                2       -8.29385590e-03       3.261531e-05
# Stocahstic error estimate: 1.352730e-05
#
