#
# Mean: 5.69113396e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69113396e-01       2.143703e-05
      2              500       5.69113396e-01       2.568634e-05
      5              200       5.69113396e-01       3.134039e-05
     10              100       5.69113396e-01       3.524153e-05
     20               50       5.69113396e-01       3.503776e-05
     50               20       5.69113396e-01       3.954388e-05
    100               10       5.69113396e-01       4.415163e-05
    200                5       5.69113396e-01       6.154222e-05
    300                3       5.69093840e-01       7.137982e-05
    400                2       5.69078342e-01       3.852369e-05
# Stocahstic error estimate: 3.524153e-05
#
