#
# Mean: -2.17085008e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.17085008e-02       1.309315e-07
      2              500       -2.17085008e-02       1.793015e-07
      5              200       -2.17085008e-02       2.659132e-07
     10              100       -2.17085008e-02       3.486395e-07
     20               50       -2.17085008e-02       4.074667e-07
     50               20       -2.17085008e-02       5.277545e-07
    100               10       -2.17085008e-02       6.345995e-07
    200                5       -2.17085008e-02       6.897065e-07
    300                3       -2.17085522e-02       8.852101e-07
    400                2       -2.17080726e-02       1.153664e-06
