#
# Mean: -1.02142363e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.02142363e-02       8.682551e-08
      2              500       -1.02142363e-02       1.114765e-07
      5              200       -1.02142363e-02       1.514148e-07
     10              100       -1.02142363e-02       1.863590e-07
     20               50       -1.02142363e-02       2.196708e-07
     50               20       -1.02142363e-02       2.507855e-07
    100               10       -1.02142363e-02       2.474884e-07
    200                5       -1.02142363e-02       2.759215e-07
    300                3       -1.02141714e-02       3.651098e-07
    400                2       -1.02141738e-02       5.401408e-07
# Stocahstic error estimate: 2.507855e-07
#
