#
# Mean: -1.97738369e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.97738369e-02       7.233823e-08
      2              500       -1.97738369e-02       9.798796e-08
      5              200       -1.97738369e-02       1.439808e-07
     10              100       -1.97738369e-02       1.835023e-07
     20               50       -1.97738369e-02       2.310866e-07
     50               20       -1.97738369e-02       2.909073e-07
    100               10       -1.97738369e-02       3.834891e-07
    200                5       -1.97738369e-02       2.024031e-07
    300                3       -1.97738737e-02       4.982143e-07
    400                2       -1.97738430e-02       3.940840e-07
# Stocahstic error estimate: 3.834891e-07
#
