#
# Mean: 5.71991013e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.71991013e-01       3.985214e-05
      2              500       5.71991013e-01       4.892196e-05
      5              200       5.71991013e-01       5.960472e-05
     10              100       5.71991013e-01       6.456574e-05
     20               50       5.71991013e-01       7.227938e-05
     50               20       5.71991013e-01       5.873223e-05
    100               10       5.71991013e-01       5.293236e-05
    200                5       5.71991013e-01       7.598181e-05
    300                3       5.72007666e-01       7.959064e-05
    400                2       5.72014734e-01       1.031352e-04
# Stocahstic error estimate: 7.227938e-05
#
