#
# Mean: -5.33506279e-02
# Block size    # of blocks         Mean                Error
      1             1000       -5.33506279e-02       5.468800e-06
      2              500       -5.33506279e-02       6.713685e-06
      5              200       -5.33506279e-02       8.641778e-06
     10              100       -5.33506279e-02       8.610972e-06
     20               50       -5.33506279e-02       9.220802e-06
     50               20       -5.33506279e-02       9.664257e-06
    100               10       -5.33506279e-02       1.169694e-05
    200                5       -5.33506279e-02       9.753410e-06
    300                3       -5.33487871e-02       1.934980e-05
    400                2       -5.33524598e-02       1.327591e-05
# Stocahstic error estimate: 8.641778e-06
#
