#
# Mean: -3.19323788e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.19323788e-02       8.975913e-08
      2              500       -3.19323788e-02       1.194998e-07
      5              200       -3.19323788e-02       1.724514e-07
     10              100       -3.19323788e-02       2.229036e-07
     20               50       -3.19323788e-02       2.791938e-07
     50               20       -3.19323788e-02       3.120640e-07
    100               10       -3.19323788e-02       3.235665e-07
    200                5       -3.19323788e-02       4.431266e-07
    300                3       -3.19323892e-02       7.084818e-07
    400                2       -3.19323934e-02       4.000879e-07
# Stocahstic error estimate: 3.235665e-07
#
