#
# Mean: -5.19892917e-03
# Block size    # of blocks         Mean                Error
      1             1000       -5.19892917e-03       1.529833e-08
      2              500       -5.19892917e-03       2.089323e-08
      5              200       -5.19892917e-03       3.085457e-08
     10              100       -5.19892917e-03       4.038268e-08
     20               50       -5.19892917e-03       5.124641e-08
     50               20       -5.19892917e-03       6.899778e-08
    100               10       -5.19892917e-03       6.806903e-08
    200                5       -5.19892917e-03       7.150229e-08
    300                3       -5.19893172e-03       9.541591e-08
    400                2       -5.19893919e-03       9.186048e-08
# Stocahstic error estimate: 6.899778e-08
#
