r_ws	Best Energy		Median Energy		Converges
1	8.67790479e-02		5.73181585e-01		13 / 16
10	-5.03014365e-02		-4.49890856e-02		14 / 16
50	-1.37637020e-02		-8.92752370e-04		16 / 16
100	-7.43458040e-03		1.57827113e-02		16 / 16
110	-6.77887484e-03		1.54507650e-02		16 / 16
150	-4.84192848e-03		1.65953602e-02		16 / 16
200	-3.82718878e-03		1.54241291e-02		16 / 16
250	-3.08898752e-03		3.97781545e-04		16 / 16

123 / 128 runs converged
