#
# Mean: -2.43665402e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43665402e-02       1.052682e-07
      2              500       -2.43665402e-02       1.432817e-07
      5              200       -2.43665402e-02       2.107075e-07
     10              100       -2.43665402e-02       2.659982e-07
     20               50       -2.43665402e-02       3.406690e-07
     50               20       -2.43665402e-02       4.195830e-07
    100               10       -2.43665402e-02       3.688953e-07
    200                5       -2.43665402e-02       5.675858e-07
    300                3       -2.43667158e-02       7.576901e-07
    400                2       -2.43668647e-02       1.189386e-06
# Stocahstic error estimate: 4.195830e-07
#
