#
# Mean: -1.74261737e-03
# Block size    # of blocks         Mean                Error
      1             1000       -1.74261737e-03       4.118557e-05
      2              500       -1.74261737e-03       4.973946e-05
      5              200       -1.74261737e-03       6.266278e-05
     10              100       -1.74261737e-03       7.001485e-05
     20               50       -1.74261737e-03       7.380104e-05
     50               20       -1.74261737e-03       6.009248e-05
    100               10       -1.74261737e-03       5.725174e-05
    200                5       -1.74261737e-03       3.955388e-05
    300                3       -1.73396510e-03       3.794936e-05
    400                2       -1.74306278e-03       9.706044e-05
# Stocahstic error estimate: 7.380104e-05
#
