#
# Mean: -4.59745867e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59745867e-02       2.875805e-07
      2              500       -4.59745867e-02       3.880313e-07
      5              200       -4.59745867e-02       5.613019e-07
     10              100       -4.59745867e-02       7.298256e-07
     20               50       -4.59745867e-02       9.014677e-07
     50               20       -4.59745867e-02       9.355269e-07
    100               10       -4.59745867e-02       1.007811e-06
    200                5       -4.59745867e-02       8.406345e-07
    300                3       -4.59742776e-02       1.642997e-06
    400                2       -4.59744853e-02       2.184669e-06
# Stocahstic error estimate: 9.355269e-07
#
