#
# Mean: -5.01816120e-02
# Block size    # of blocks         Mean                Error
      1             1000       -5.01816120e-02       3.848982e-06
      2              500       -5.01816120e-02       5.062824e-06
      5              200       -5.01816120e-02       6.982941e-06
     10              100       -5.01816120e-02       8.641817e-06
     20               50       -5.01816120e-02       9.998393e-06
     50               20       -5.01816120e-02       9.168937e-06
    100               10       -5.01816120e-02       9.518003e-06
    200                5       -5.01816120e-02       6.892235e-06
    300                3       -5.01860421e-02       5.795666e-06
    400                2       -5.01853398e-02       1.548567e-06
# Stocahstic error estimate: 9.998393e-06
#
