#
# Mean: -8.38333414e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.38333414e-02       1.240476e-06
      2              500       -8.38333414e-02       1.672996e-06
      5              200       -8.38333414e-02       2.466333e-06
     10              100       -8.38333414e-02       3.252364e-06
     20               50       -8.38333414e-02       4.175407e-06
     50               20       -8.38333414e-02       5.614404e-06
    100               10       -8.38333414e-02       6.312071e-06
    200                5       -8.38333414e-02       5.143223e-06
    300                3       -8.38352353e-02       9.650488e-06
    400                2       -8.38329599e-02       1.267834e-05
# Stocahstic error estimate: 6.312071e-06
#
