#
# Mean: -7.97916472e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.97916472e-02       1.142492e-06
      2              500       -7.97916472e-02       1.384357e-06
      5              200       -7.97916472e-02       1.726492e-06
     10              100       -7.97916472e-02       1.967905e-06
     20               50       -7.97916472e-02       2.221827e-06
     50               20       -7.97916472e-02       2.025927e-06
    100               10       -7.97916472e-02       2.303760e-06
    200                5       -7.97916472e-02       2.904127e-06
    300                3       -7.97928260e-02       1.306795e-06
    400                2       -7.97941598e-02       1.018945e-06
# Stocahstic error estimate: 2.221827e-06
#
