#
# Mean: -7.98403290e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.98403290e-02       3.005758e-06
      2              500       -7.98403290e-02       3.199151e-06
      5              200       -7.98403290e-02       3.492157e-06
     10              100       -7.98403290e-02       3.729697e-06
     20               50       -7.98403290e-02       3.711382e-06
     50               20       -7.98403290e-02       4.169834e-06
    100               10       -7.98403290e-02       3.133448e-06
    200                5       -7.98403290e-02       3.169600e-06
    300                3       -7.98409578e-02       5.912912e-06
    400                2       -7.98403433e-02       7.282106e-07
# Stocahstic error estimate: 3.729697e-06
#
